ID	GroupMatrix
AE29_N04TAF	PWOCham_groupA
AX08_N04TAF	PWOCham_groupA
AP16_N04TAF	PWOCham_groupA
CA17_N04TAF	PWOCham_groupA
CA03_N04TAF	PWOCham_groupA
CA04_N04TAF	PWOCham_groupA
AP09_N04TAF	PWOCham_groupA
CA07_N04TAF	PWOCham_groupA
AE05_N04TAF	PWOCham_groupA
AX19_N04TAF	PWOCham_groupA
AP02_N04TAF	PWOCham_groupA
AP17_N04TAF	PWOCham_groupA
AP30_N04TAF	PWOCham_groupA
CA16_N04TAF	PWOCham_groupA
AX07_N04TAF	PWOCham_groupA
AX26_N04TAF	PWOCham_groupA
AE08_N04TAF	PWOCham_groupA
AP10_N04TAF	PWOCham_groupA
CC21_N04TAF	PWOCham_groupA
AE14_N04TAF	PWOCham_groupA
CA14_N04TAF	PWOCham_groupA
AX17_N04TAF	PWOCham_groupA
CC29_N04TAF	PWOCham_groupA
AP05_N04TAF	PWOCham_groupA
AX09_N04TAF	PWOCham_groupA
CC09_N04TAF	PWOCham_groupA
CC17_N04TAF	PWOCham_groupA
AP01_N04TAF	PWOCham_groupA
AE28_N04TAF	PWOCham_groupA
CC27_N04TAF	PWOCham_groupA
AE02_N04TAF	PWOCham_groupB
AE18_N04TAF	PWOCham_groupB
AE15_N04TAF	PWOCham_groupB
CC13_N04TAF	PWOCham_groupB
CC11_N04TAF	PWOCham_groupB
AX14_N04TAF	PWOCham_groupB
AE19_N04TAF	PWOCham_groupB
AX15_N04TAF	PWOCham_groupB
AX12_N04TAF	PWOCham_groupB
AX25_N04TAF	PWOCham_groupB
CA11_N04TAF	PWOCham_groupB
AE25_N04TAF	PWOCham_groupB
AX13_N04TAF	PWOCham_groupB
AX10_N04TAF	PWOCham_groupC
AX21_N04TAF	PWOCham_groupC
CA29_N04TAF	PWOCham_groupC
CA28_N04TAF	PWOCham_groupC
CC16_N04TAF	PWOCham_groupC
CC30_N04TAF	PWOCham_groupC
AP27_N04TAF	PWOCham_groupC
AX16_N04TAF	PWOCham_groupC
AE12_N04TAF	PWOCham_groupC
AP03_N04TAF	PWOCham_groupC
CC20_N04TAF	PWOCham_groupC
AP22_N04TAF	PWOCham_groupC
AP29_N04TAF	PWOCham_groupC
CC15_N04TAF	PWOCham_groupC
AE24_N04TAF	PWOCham_groupC
CA19_N04TAF	PWOCham_groupC
CC23_N04TAF	PWOCham_groupC
AE01_N04TAF	PWOCham_groupC
AX27_N04TAF	PWOCham_groupC
AP13_N04TAF	PWOCham_groupD
CA30_N04TAF	PWOCham_groupD
AP11_N04TAF	PWOCham_groupD
CC26_N04TAF	PWOCham_groupD
CA18_N04TAF	PWOCham_groupE
AE06_N04TAF	PWOCham_groupE
AX03_N04TAF	PWOCham_groupE
AP25_N04TAF	PWOCham_groupE
CC01_N04TAF	PWOCham_groupE
CA25_N04TAF	PWOCham_groupE
CC03_N04TAF	PWOCham_groupE
AE10_N04TAF	PWOCham_groupE
AE23_N04TAF	PWOCham_groupE
CA22_N04TAF	PWOCham_groupE
CC07_N04TAF	PWOCham_groupE
CC02_N04TAF	PWOCham_groupE
AP20_N04TAF	PWOCham_groupE
CC10_N04TAF	PWOCham_groupE
CA21_N04TAF	PWOCham_groupE
AE16_N04TAF	PWOCham_groupE
CC24_N04TAF	PWOCham_groupE
AP26_N04TAF	PWOCham_groupE
CA10_N04TAF	PWOCham_groupE
AP12_N04TAF	PWOCham_groupF
AX22_N04TAF	PWOCham_groupF
AX28_N04TAF	PWOCham_groupF
CA06_N04TAF	PWOCham_groupF
CA09_N04TAF	PWOCham_groupF
CA27_N04TAF	PWOCham_groupF
AE13_N04TAF	PWOCham_groupF
AP14_N04TAF	PWOCham_groupF
AX05_N04TAF	PWOCham_groupF
