"Port","Date","Time","Concentration","Temp","RH","Treatment","Hour_exposition","status","ppb"
"Port 1 S900-O3 LOW","01_04_2023",0.292314814814815,0.008,NA,NA,"purified air",7,"acepted",8
"Port 1 S900-O3 LOW","01_04_2023",0.294363425925926,0.012,NA,NA,"purified air",7,"acepted",12
"Port 1 S900-O3 LOW","01_04_2023",0.296423611111111,0.007,NA,NA,"purified air",7,"acepted",7
"Port 1 S900-O3 LOW","01_04_2023",0.298506944444444,0.02,NA,NA,"purified air",7,"acepted",20
"Port 1 S900-O3 LOW","01_04_2023",0.300601851851852,0.022,NA,NA,"purified air",7,"acepted",22
"Port 1 S900-O3 LOW","01_04_2023",0.302696759259259,0.019,NA,NA,"purified air",7,"acepted",19
"Port 1 S900-O3 LOW","01_04_2023",0.304756944444444,0.033,NA,NA,"purified air",7,"acepted",33
"Port 1 S900-O3 LOW","01_04_2023",0.306851851851852,0.031,NA,NA,"purified air",7,"acepted",31
"Port 1 S900-O3 LOW","01_04_2023",0.308946759259259,0.028,NA,NA,"purified air",7,"acepted",28
"Port 1 S900-O3 LOW","01_04_2023",0.311030092592593,0.056,NA,NA,"purified air",7,"acepted",56
"Port 1 S900-O3 LOW","01_04_2023",0.313090277777778,0.044,NA,NA,"purified air",7,"acepted",44
"Port 1 S900-O3 LOW","01_04_2023",0.315185185185185,0.038,NA,NA,"purified air",7,"acepted",38
"Port 1 S900-O3 LOW","01_04_2023",0.317280092592593,0.029,NA,NA,"purified air",7,"acepted",29
"Port 1 S900-O3 LOW","01_04_2023",0.319340277777778,0.023,NA,NA,"purified air",7,"acepted",23
"Port 1 S900-O3 LOW","01_04_2023",0.321423611111111,0.027,NA,NA,"purified air",7,"acepted",27
"Port 1 S900-O3 LOW","01_04_2023",0.323518518518519,0.023,NA,NA,"purified air",7,"acepted",23
"Port 1 S900-O3 LOW","01_04_2023",0.325613425925926,0.022,NA,NA,"purified air",7,"acepted",22
