ID	GroupMatrix
AP10_N04TAF	PWOCham_groupA
CC21_N04TAF	PWOCham_groupA
AP16_N04TAF	PWOCham_groupA
CA04_N04TAF	PWOCham_groupA
CA17_N04TAF	PWOCham_groupA
CA16_N04TAF	PWOCham_groupA
AE28_N04TAF	PWOCham_groupA
CA03_N04TAF	PWOCham_groupA
AX07_N04TAF	PWOCham_groupA
AX26_N04TAF	PWOCham_groupA
AP05_N04TAF	PWOCham_groupA
CC27_N04TAF	PWOCham_groupA
CC17_N04TAF	PWOCham_groupA
CC29_N04TAF	PWOCham_groupA
AX09_N04TAF	PWOCham_groupA
CC09_N04TAF	PWOCham_groupA
AE29_N04TAF	PWOCham_groupA
AX08_N04TAF	PWOCham_groupA
AE14_N04TAF	PWOCham_groupA
AX17_N04TAF	PWOCham_groupA
AE08_N04TAF	PWOCham_groupA
AP17_N04TAF	PWOCham_groupA
AX19_N04TAF	PWOCham_groupA
CA14_N04TAF	PWOCham_groupA
AE05_N04TAF	PWOCham_groupA
AP09_N04TAF	PWOCham_groupA
CA07_N04TAF	PWOCham_groupA
AP30_N04TAF	PWOCham_groupA
AP01_N04TAF	PWOCham_groupA
AP02_N04TAF	PWOCham_groupA
AP25_N04TAF	PWOCham_groupB
CC01_N04TAF	PWOCham_groupB
CA25_N04TAF	PWOCham_groupB
CC03_N04TAF	PWOCham_groupB
CC02_N04TAF	PWOCham_groupB
AP20_N04TAF	PWOCham_groupB
CC10_N04TAF	PWOCham_groupB
AP26_N04TAF	PWOCham_groupB
CA10_N04TAF	PWOCham_groupB
AE16_N04TAF	PWOCham_groupB
CC24_N04TAF	PWOCham_groupB
CA18_N04TAF	PWOCham_groupB
CA21_N04TAF	PWOCham_groupB
CA22_N04TAF	PWOCham_groupB
CC07_N04TAF	PWOCham_groupB
AE23_N04TAF	PWOCham_groupB
AE10_N04TAF	PWOCham_groupB
AE06_N04TAF	PWOCham_groupB
AX03_N04TAF	PWOCham_groupB
AE02_N04TAF	PWOCham_groupC
AX14_N04TAF	PWOCham_groupC
AX12_N04TAF	PWOCham_groupC
AX25_N04TAF	PWOCham_groupC
AE18_N04TAF	PWOCham_groupC
CC11_N04TAF	PWOCham_groupC
AE15_N04TAF	PWOCham_groupC
CC13_N04TAF	PWOCham_groupC
AE19_N04TAF	PWOCham_groupC
CA11_N04TAF	PWOCham_groupC
AX13_N04TAF	PWOCham_groupC
AE25_N04TAF	PWOCham_groupC
AX15_N04TAF	PWOCham_groupC
AP27_N04TAF	PWOCham_groupD
AX16_N04TAF	PWOCham_groupD
AP29_N04TAF	PWOCham_groupD
AX27_N04TAF	PWOCham_groupD
AP22_N04TAF	PWOCham_groupD
CA28_N04TAF	PWOCham_groupD
AX21_N04TAF	PWOCham_groupD
AX10_N04TAF	PWOCham_groupD
CA29_N04TAF	PWOCham_groupD
AP03_N04TAF	PWOCham_groupD
CC23_N04TAF	PWOCham_groupD
CC30_N04TAF	PWOCham_groupD
AE01_N04TAF	PWOCham_groupD
CC20_N04TAF	PWOCham_groupD
AE24_N04TAF	PWOCham_groupD
CA19_N04TAF	PWOCham_groupD
AX22_N04TAF	PWOCham_groupD
CC15_N04TAF	PWOCham_groupD
AE12_N04TAF	PWOCham_groupD
CC16_N04TAF	PWOCham_groupD
AP11_N04TAF	PWOCham_groupE
AP13_N04TAF	PWOCham_groupE
CA30_N04TAF	PWOCham_groupE
CC26_N04TAF	PWOCham_groupE
