"ID","chamber_ind","Promedio_Clorofila","treatment","chamber_number","tree_number","survivors","diameter","height","bud_condition","length_last_node","ozone_damage","reddish_no_ozone_damage","yellowish_damage","caterpillar_damage","aphid_damage","other_damage","trifurcated_branches","linear_branches","growth_type","other_plants_growing","X_submitted_by","X_index","monthCollect","triplicate","dosis","delta_altura","delta_diameter","suv_damozo","GroupMatrix"
"AE01_N04TAF","7_1",8.10845666666667,"ambient_air_IE",7,1,"survive",10,91,"growing",15,1,0,1,0,0,0,5,21,"elongate","a_lot","brigadistaD",115,"June_2023",1,"with_ozone",19,2.4,"survive_1","PWOCham_groupD"
"AE02_N04TAF","7_2",8.52299,"ambient_air_IE",7,2,"survive",9.5,76.5,"growing",3.7,1,0,0,0,0,0,4,6,"elongate","bit","brigadistaA",51,"June_2023",1,"with_ozone",3.5,1.2,"survive_1","PWOCham_groupC"
"AE05_N04TAF","7_5",12.5948766666667,"ambient_air_IE",7,5,"survive",7.6,71,"growing",7.1,0,0,0,0,0,0,4,5,"elongate","a_lot","brigadistaA",16,"June_2023",1,"with_ozone",7,0.8,"survive_0","PWOCham_groupA"
"AE06_N04TAF","7_6",9.82776,"ambient_air_IE",7,6,"survive",11.7,81,"growing",7,1,0,1,0,0,0,6,23,"elongate","a_lot","brigadistaD",117,"June_2023",1,"with_ozone",7.5,2.4,"survive_1","PWOCham_groupB"
"AE08_N04TAF","7_8",10.0217666666667,"ambient_air_IE",7,8,"survive",9.4,79,"growing",15,0,0,0,0,0,0,5,5,"elongate","bit","brigadistaA",18,"June_2023",1,"with_ozone",16,0.5,"survive_0","PWOCham_groupA"
"AE10_N04TAF","7_10",8.49794,"ambient_air_IE",7,10,"survive",9.3,84,"dead",1,0,1,0,0,0,0,7,8,"elongate","a_lot","brigadistaG",52,"June_2023",1,"with_ozone",0.5,0.200000000000001,"survive_0","PWOCham_groupB"
"AE12_N04TAF","14_12",8.18004333333333,"ambient_air_IE",14,12,"survive",7.8,72,"growing",10,0,0,1,0,0,0,6,9,"elongate","bit","brigadistaD",132,"June_2023",2,"with_ozone",10,1,"survive_0","PWOCham_groupD"
"AE13_N04TAF","14_13",13.4125066666667,"ambient_air_IE",14,13,"survive",7.1,81,"growing",9,0,0,1,0,0,0,4,7,"elongate","bit","brigadistaG",76,"June_2023",2,"with_ozone",9,-0.600000000000001,"survive_0","No_sequencedORagruped"
"AE14_N04TAF","14_14",11.2614466666667,"ambient_air_IE",14,14,"survive",9.9,90,"growing",20,0,0,0,0,0,0,3,6,"elongate","bit","brigadistaA",35,"June_2023",2,"with_ozone",20,-0.5,"survive_0","PWOCham_groupA"
"AE15_N04TAF","14_15",9.61123333333333,"ambient_air_IE",14,15,"survive",10.2,67.3,"growing",3.5,0,0,0,0,0,0,14,0,"elongate","bit","brigadistaA",77,"June_2023",2,"with_ozone",4.3,0.0999999999999996,"survive_0","PWOCham_groupC"
