"monthCollect","treatment","suv_damozo","count","total","proportion"
"March_2023","ambient_air_IE","survive_0",30,30,100
"March_2023","ambient_air_SRX","survive_0",29,29,100
"March_2023","ozone_contingency","survive_0",30,30,100
"March_2023","ozone_moderate","survive_0",29,29,100
"March_2023","purified_air","survive_0",30,30,100
"June_2023","ambient_air_IE","survive_0",22,30,73.3
"June_2023","ambient_air_IE","survive_1",8,30,26.7
"June_2023","ambient_air_SRX","survive_0",29,29,100
"June_2023","ozone_contingency","survive_0",12,30,40
"June_2023","ozone_contingency","survive_1",18,30,60
"June_2023","ozone_moderate","survive_0",15,29,51.7
"June_2023","ozone_moderate","survive_1",14,29,48.3
"June_2023","purified_air","survive_0",28,30,93.3
"June_2023","purified_air","survive_1",2,30,6.7
"October_2023","ambient_air_IE","dead_NA",12,30,40
"October_2023","ambient_air_IE","survive_0",6,30,20
"October_2023","ambient_air_IE","survive_1",12,30,40
"October_2023","ambient_air_SRX","survive_0",29,29,100
"October_2023","ozone_contingency","dead_NA",8,30,26.7
"October_2023","ozone_contingency","survive_1",22,30,73.3
"October_2023","ozone_moderate","dead_NA",5,29,17.2
"October_2023","ozone_moderate","survive_0",6,29,20.7
"October_2023","ozone_moderate","survive_1",18,29,62.1
"October_2023","purified_air","dead_NA",14,30,46.7
"October_2023","purified_air","survive_0",7,30,23.3
"October_2023","purified_air","survive_1",9,30,30
"January_2024","ambient_air_IE","dead_NA",13,30,43.3
"January_2024","ambient_air_IE","survive_0",17,30,56.7
"January_2024","ambient_air_SRX","survive_0",29,29,100
"January_2024","ozone_contingency","dead_NA",9,30,30
"January_2024","ozone_contingency","survive_0",21,30,70
"January_2024","ozone_moderate","dead_NA",13,29,44.8
"January_2024","ozone_moderate","survive_0",16,29,55.2
"January_2024","purified_air","dead_NA",14,30,46.7
"January_2024","purified_air","survive_0",16,30,53.3
