"","grp$grp"
"AE01_N04TAF","2"
"AE02_N04TAF","2"
"AE05_N04TAF","1"
"AE06_N04TAF","3"
"AE08_N04TAF","1"
"AE10_N04TAF","3"
"AE12_N04TAF","2"
"AE13_N04TAF","2"
"AE14_N04TAF","1"
"AE15_N04TAF","2"
"AE16_N04TAF","3"
"AE18_N04TAF","2"
"AE19_N04TAF","2"
"AE22_N04TAF","1"
"AE23_N04TAF","3"
"AE24_N04TAF","2"
"AE25_N04TAF","2"
"AE28_N04TAF","1"
"AE29_N04TAF","1"
"CA03_N04TAF","1"
"CA04_N04TAF","1"
"CA06_N04TAF","2"
"CA07_N04TAF","1"
"CA09_N04TAF","2"
"CA10_N04TAF","3"
"CA11_N04TAF","2"
"CA14_N04TAF","1"
"CA16_N04TAF","1"
"CA17_N04TAF","1"
"CA19_N04TAF","2"
"CA21_N04TAF","3"
"CA22_N04TAF","3"
"CA25_N04TAF","3"
"CA27_N04TAF","2"
"CA28_N04TAF","2"
"CA29_N04TAF","2"
"CA30_N04TAF","2"
"CC01_N04TAF","3"
"CC02_N04TAF","3"
"CC03_N04TAF","3"
"CC07_N04TAF","3"
"CC09_N04TAF","1"
"CC10_N04TAF","3"
"CC11_N04TAF","2"
"CC13_N04TAF","2"
"CC15_N04TAF","2"
"CC16_N04TAF","2"
"CC17_N04TAF","1"
"CC20_N04TAF","2"
"CC21_N04TAF","1"
"CC23_N04TAF","2"
"CC24_N04TAF","3"
"CC26_N04TAF","2"
"CC27_N04TAF","1"
"CC29_N04TAF","1"
"CC30_N04TAF","2"
