"","grp$grp"
"AE01_N04TAF","2"
"AE02_N04TAF","4"
"AE05_N04TAF","3"
"AE06_N04TAF","1"
"AE08_N04TAF","3"
"AE10_N04TAF","1"
"AE12_N04TAF","2"
"AE13_N04TAF","4"
"AE14_N04TAF","3"
"AE15_N04TAF","4"
"AE16_N04TAF","1"
"AE18_N04TAF","4"
"AE19_N04TAF","4"
"AE23_N04TAF","1"
"AE24_N04TAF","2"
"AE25_N04TAF","4"
"AE28_N04TAF","3"
"AE29_N04TAF","3"
"AP01_N04TAF","3"
"AP02_N04TAF","3"
"AP03_N04TAF","2"
"AP05_N04TAF","3"
"AP09_N04TAF","3"
"AP10_N04TAF","3"
"AP11_N04TAF","4"
"AP12_N04TAF","2"
"AP13_N04TAF","4"
"AP14_N04TAF","4"
"AP16_N04TAF","3"
"AP17_N04TAF","3"
"AP20_N04TAF","1"
"AP22_N04TAF","2"
"AP25_N04TAF","1"
"AP26_N04TAF","1"
"AP27_N04TAF","2"
"AP29_N04TAF","2"
"AP30_N04TAF","3"
"CA03_N04TAF","3"
"CA04_N04TAF","3"
"CA06_N04TAF","4"
"CA07_N04TAF","3"
"CA09_N04TAF","4"
"CA10_N04TAF","1"
"CA11_N04TAF","4"
"CA14_N04TAF","3"
"CA16_N04TAF","3"
"CA17_N04TAF","3"
"CA18_N04TAF","1"
"CA19_N04TAF","2"
"CA21_N04TAF","1"
"CA22_N04TAF","1"
"CA25_N04TAF","1"
"CA27_N04TAF","4"
"CA28_N04TAF","2"
"CA29_N04TAF","2"
"CA30_N04TAF","4"
"CC01_N04TAF","1"
"CC02_N04TAF","1"
"CC03_N04TAF","1"
"CC07_N04TAF","1"
"CC09_N04TAF","3"
"CC10_N04TAF","1"
"CC11_N04TAF","4"
"CC13_N04TAF","4"
"CC15_N04TAF","2"
"CC16_N04TAF","2"
"CC17_N04TAF","3"
"CC20_N04TAF","2"
"CC21_N04TAF","3"
"CC23_N04TAF","2"
"CC24_N04TAF","1"
"CC26_N04TAF","4"
"CC27_N04TAF","3"
"CC29_N04TAF","3"
"CC30_N04TAF","2"
