ID	suv_damozo
AE01_N04TAF	survive_1
AE02_N04TAF	survive_1
AE05_N04TAF	survive_0
AE06_N04TAF	survive_1
AE08_N04TAF	survive_0
AE10_N04TAF	survive_0
AE12_N04TAF	survive_0
AE13_N04TAF	survive_0
AE14_N04TAF	survive_0
AE15_N04TAF	survive_0
AE16_N04TAF	survive_0
AE18_N04TAF	survive_0
AE19_N04TAF	survive_0
AE23_N04TAF	survive_0
AE24_N04TAF	survive_1
AE25_N04TAF	survive_0
AE28_N04TAF	survive_0
AE29_N04TAF	survive_0
CA03_N04TAF	survive_1
CA04_N04TAF	survive_1
CA06_N04TAF	survive_1
CA07_N04TAF	survive_1
CA09_N04TAF	survive_1
CA10_N04TAF	survive_1
CA11_N04TAF	survive_1
CA14_N04TAF	survive_0
CA16_N04TAF	survive_0
CA17_N04TAF	survive_0
CA18_N04TAF	survive_1
CA19_N04TAF	survive_0
CA21_N04TAF	survive_0
CA22_N04TAF	survive_0
CA25_N04TAF	survive_0
CA27_N04TAF	survive_0
CA28_N04TAF	survive_0
CA29_N04TAF	survive_0
CA30_N04TAF	survive_1
CC01_N04TAF	survive_0
CC02_N04TAF	survive_0
CC03_N04TAF	survive_0
CC07_N04TAF	survive_0
CC09_N04TAF	survive_0
CC10_N04TAF	survive_1
CC11_N04TAF	survive_1
CC13_N04TAF	survive_0
CC15_N04TAF	survive_1
CC16_N04TAF	survive_1
CC17_N04TAF	survive_1
CC20_N04TAF	survive_1
CC21_N04TAF	survive_0
CC23_N04TAF	survive_0
CC24_N04TAF	survive_0
CC26_N04TAF	survive_1
CC27_N04TAF	survive_0
CC29_N04TAF	survive_1
CC30_N04TAF	survive_0
