ID	suv_damozo
CA03_N04TAF	survive_1
CA04_N04TAF	survive_1
CA06_N04TAF	survive_1
CA07_N04TAF	survive_1
CA09_N04TAF	survive_1
CA10_N04TAF	survive_1
CA11_N04TAF	survive_1
CA14_N04TAF	survive_0
CA16_N04TAF	survive_0
CA17_N04TAF	survive_0
CA18_N04TAF	survive_1
CA19_N04TAF	survive_0
CA21_N04TAF	survive_0
CA22_N04TAF	survive_0
CA25_N04TAF	survive_0
CA27_N04TAF	survive_0
CA28_N04TAF	survive_0
CA29_N04TAF	survive_0
CA30_N04TAF	survive_1
CC01_N04TAF	survive_0
CC02_N04TAF	survive_0
CC03_N04TAF	survive_0
CC07_N04TAF	survive_0
CC09_N04TAF	survive_0
CC10_N04TAF	survive_1
CC11_N04TAF	survive_1
CC13_N04TAF	survive_0
CC15_N04TAF	survive_1
CC16_N04TAF	survive_1
CC17_N04TAF	survive_1
CC20_N04TAF	survive_1
CC21_N04TAF	survive_0
CC23_N04TAF	survive_0
CC24_N04TAF	survive_0
CC26_N04TAF	survive_1
CC27_N04TAF	survive_0
CC29_N04TAF	survive_1
CC30_N04TAF	survive_0
AE01_N04TAF	survive_1
AE02_N04TAF	survive_1
AE05_N04TAF	survive_0
AE06_N04TAF	survive_1
AE08_N04TAF	survive_0
AE10_N04TAF	survive_0
AE12_N04TAF	survive_0
AE13_N04TAF	survive_0
AE14_N04TAF	survive_0
AE15_N04TAF	survive_0
AE16_N04TAF	survive_0
AE18_N04TAF	survive_0
AE19_N04TAF	survive_0
AE23_N04TAF	survive_0
AE24_N04TAF	survive_1
AE25_N04TAF	survive_0
AE28_N04TAF	survive_0
AE29_N04TAF	survive_0
AP01_N04TAF	survive_0
AP02_N04TAF	survive_0
AP03_N04TAF	survive_0
AP05_N04TAF	survive_0
AP09_N04TAF	survive_0
AP10_N04TAF	survive_0
AP11_N04TAF	survive_0
AP12_N04TAF	survive_0
AP13_N04TAF	survive_0
AP14_N04TAF	survive_0
AP16_N04TAF	survive_0
AP17_N04TAF	survive_0
AP20_N04TAF	survive_0
AP22_N04TAF	survive_0
AP25_N04TAF	survive_0
AP26_N04TAF	survive_0
AP27_N04TAF	survive_0
AP29_N04TAF	survive_1
AP30_N04TAF	survive_0
AX03_N04TAF	survive_0
AX05_N04TAF	survive_0
AX07_N04TAF	survive_0
AX08_N04TAF	survive_0
AX09_N04TAF	survive_0
AX10_N04TAF	survive_0
AX12_N04TAF	survive_0
AX13_N04TAF	survive_0
AX14_N04TAF	survive_0
AX15_N04TAF	survive_0
AX16_N04TAF	survive_0
AX17_N04TAF	survive_0
AX19_N04TAF	survive_0
AX21_N04TAF	survive_0
AX22_N04TAF	survive_0
AX25_N04TAF	survive_0
AX26_N04TAF	survive_0
AX27_N04TAF	survive_0
AX28_N04TAF	survive_0
