"tree_id","Plate_Number","Well_Coordinates","Sample_Name_Plate","Species","person_key_GBS","Nodes_GBS","Plot_GBS","ID_sample_correct","Treatment","locality_key","plot","life_condition","X_coordinates_latitude","X_coordinates_longitude","X_coordinates_altitude","person_key","tree_number","photo_tree","tree_diameter_category","tree_heigth","tree_nodes","tree_health","ozone_damage_percentage","other_damages_percentage","other_damages_percentage.less_10","other_damages_percentage.10.40","other_damages_percentage.50","other_damages_percentage.50.70","other_damages_percentage.70.100","photo_health","bud","photo_bud","branch_nodes","nodes_with_leaves","photo_branch","cones","cone_sex","photo_cones","tree_exposition","surronding_vegetation.fir","surronding_vegetation.pine","surronding_vegetation.oak","surronding_vegetation.bush","surronding_vegetation.grass","surronding_vegetation.other","reforested","reforestation_code","tree_health_simplified","reforestation_year"
"A1","P1","B10","A1_N10P2","Abies religiosa","A","10","2","A1_N10P02","forest","CX",2,"alive","19.2909843","-99.2989938",3517.2,"A",1,"1608051162775.jpg","10_cm",4,10,"healthy",NA,NA,NA,NA,NA,NA,NA,"1608051605289.jpg","closed","1608051722167.jpg",5,5,"1608052162567.jpg","no",NA,NA,"cover",0,0,0,0,1,0,"yes","SRX 2013","healthy","2013"
"A10","P3","B12","A10_N07P06","Abies religiosa","A","7","6","A10_N07P06","forest","CX",6,"alive","19.2924916","-99.2989653",3486.7,"A",10,"1608061497633.jpg","2_cm",2.4,7,"ozone","40 to 50%",NA,NA,NA,NA,NA,NA,"1608061749657.jpg","closed","1608061906016.jpg",6,4,"1608061997432.jpg","no",NA,NA,"cover",1,0,0,0,0,1,"no",NA,"ozone",NA
"A102","P4","H8","A102_N11P37","Abies religiosa","A","11","37","A102_N11P37","forest","PN",37,"alive","19.2838672","-99.3165321",3198.4,"A",102,"1608495594601.jpg","6_cm",7.5,11,"ozone other","50 to 70%",NA,NA,NA,NA,NA,NA,"1608495718917.jpg","not_visible","1608495797261.jpg",8,3,"1608495883054.jpg","no",NA,NA,"cover",1,0,0,0,0,1,"no",NA,"ozone_and_other",NA
"A115","P4","D12","A115_N12P40","Abies religiosa","A","12","40","A115_N12P40","forest","PN",40,"alive","19.2744719","-99.3070187",3479.4,"A",115,"1608570725705.jpg","30_cm",7.5,12,"ozone drougth","less than 10%",NA,NA,NA,NA,NA,NA,"1608570953370.jpg","closed","1608571060079.jpg",7,5,"1608571154374.jpg","no",NA,NA,"cover",0,1,0,1,1,1,"no",NA,"ozone_and_other",NA
"A122","P4","F10","A122_N03P40","Abies religiosa","A","3","40","A122_N03P40","forest","PN",40,"alive","19.2735842","-99.3064146",3482.1,"A",122,"1608574930824.jpg","0.5_cm",0.4,3,"healthy",NA,NA,NA,NA,NA,NA,NA,"1608574967431.jpg","closed","1608574986615.jpg",2,2,"1608575018531.jpg","no",NA,NA,"cover",0,0,0,1,1,1,"no",NA,"healthy",NA
"A131","P1","B7","A131_N10P46","Abies religiosa","A","10","46","A131_N10P46","forest","CX",46,"alive","19.2921842","-99.2950591",3456.45675,"A",131,"1610733918656-18_14_8.jpg","40_cm",9,10,"healthy",NA,NA,NA,NA,NA,NA,NA,"1610733993011-18_14_53.jpg","open","1610734050802-18_15_9.jpg",5,2,"1610734083400-18_15_39.jpg","no",NA,NA,"cover",1,0,0,0,1,0,"no",NA,"healthy",NA
"A135","P4","A4","A135_N08P46","Abies religiosa","A","8","46","A135_N08P46","forest","CX",46,"alive","19.2943068","-99.2963748",3468.814666,"A",135,"1610735835504-18_31_59.jpg","30_cm",10,8,"ozone drougth other","less than 10%",NA,NA,NA,NA,NA,NA,"1610735894712-18_32_55.jpg","closed","1610735945066-18_33_17.jpg",4,1,"1610735975950-18_33_38.jpg","no",NA,NA,"cover",1,0,1,0,0,0,"no",NA,"ozone_and_other",NA
"A18","P2","D10","A18_N7P6","Abies religiosa","A","7","6","A18_N07P06","forest","CX",6,"alive","19.2927142","-99.2988703",3481.7,"A",18,"1608066204766.jpg","6_cm",2.5,7,"healthy",NA,NA,NA,NA,NA,NA,NA,"1608066275410.jpg","closed","1608066298334.jpg",5,5,"1608066331854.jpg","no",NA,NA,"cover",0,1,0,1,1,0,"no",NA,"healthy",NA
"A19","P1","C12","A19_N5P6","Abies religiosa","A","5","6","A19_N05P06","forest","CX",6,"alive","19.2925286","-99.298936",3481.7,"A",19,"1608066497550.jpg","1_cm",1,5,"healthy",NA,NA,NA,NA,NA,NA,NA,"1608066536632.jpg","closed","1608066548861.jpg",2,2,"1608066578874.jpg","no",NA,NA,"cover",1,0,0,0,1,0,"no",NA,"healthy",NA
"A22","P4","A12","A22_N09p09","Abies religiosa","A","9","9","A22_N09P09","forest","CX",9,"alive","19.2909322","-99.3025716",3528.5,"A",22,"1608135917231.jpg","6_cm",4.5,9,"healthy",NA,NA,NA,NA,NA,NA,NA,"1608136275957.jpg","closed","1608136299307.jpg",7,7,"1608136386212.jpg","no",NA,NA,"cover",0,0,0,1,1,0,"no",NA,"healthy",NA
"A27","P2","F11","A27_N8P9","Abies religiosa","A","8","9","A27_N08P09","forest","CX",9,"alive","19.2909231","-99.3026466",3532.5,"A",27,"1608139578237.jpg","6_cm",4.7,8,"healthy",NA,NA,NA,NA,NA,NA,NA,"1608139799323.jpg","closed","1608139834599.jpg",6,4,"1608140021066.jpg","no",NA,NA,"cover",0,0,0,0,1,0,"no",NA,"healthy",NA
"A34","P2","D6","A34_NNAP12","Abies religiosa","A",NA,"12","A34_NNAP12","forest","CX",12,"alive","19.2912656","-99.3060372",3547.8,"A",34,"1608146423089.jpg","40_cm",38,NA,"ozone","10 to 40%",NA,NA,NA,NA,NA,NA,"1608146980440.jpg","closed","1608147044939.jpg",11,11,"1608147349473.jpg","yes",NA,"1608147523761.jpg","exposed",1,0,0,0,1,0,"no",NA,"ozone",NA
"A38","P1","H7","A38_N5P12","Abies religiosa","A","5","12","A38_N05P12","forest","CX",12,"alive","19.2912379","-99.3062224",3484.8,"A",38,"1608150863562.jpg","0.5_cm",0.45,5,"healthy",NA,NA,NA,NA,NA,NA,NA,"1608150928505.jpg","closed","1608150955714.jpg",3,3,"1608150992531.jpg","no",NA,NA,"cover",0,0,0,0,1,1,"no",NA,"healthy",NA
"A4","P2","H10","A4_N8P2","Abies religiosa","A","8","2","A4_N08P02","forest","CX",2,"alive","19.2908661","-99.2991288",3503.1,"A",4,"1608055293715.jpg","6_cm",3.4,8,"healthy",NA,NA,NA,NA,NA,NA,NA,"1608055521561.jpg","closed","1608055573950.jpg",4,4,"1608055671051.jpg","no",NA,NA,"cover",0,0,0,0,1,0,"yes","SRX 2013","healthy","2013"
"A44","P4","G10","A44_N10P14","Abies religiosa","A","10","14","A44_N10P14","forest","CX",14,"alive","19.2924565","-99.306177",3487,"A",44,"1608160472216.jpg","2_cm",1.85,10,"healthy",NA,NA,NA,NA,NA,NA,NA,"1608160562308.jpg","closed","1608160594671.jpg",6,5,"1608160651878.jpg","no",NA,NA,"cover",0,0,0,1,0,1,"no",NA,"healthy",NA
"A82","P4","E12","A82_N15P36","Abies religiosa","A","15","36","A82_N15P36","forest","PN",36,"alive","19.2963365","-99.3189188",3137.6,"A",82,"1608481333293.jpg","30_cm",11.5,15,"ozone drougth other","40 to 50%",NA,NA,NA,NA,NA,NA,"1608481725651.jpg","closed","1608481780363.jpg",14,14,"1608481863535.jpg","no",NA,NA,"cover",0,0,0,1,1,1,"no",NA,"ozone_and_other",NA
"AE01","P3","F9","AE01_N04TAF","Abies religiosa","chamber","4","chambers","AE01_N04TAF","ambient_air_IE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AE02","P3","A12","AE02_N04TAF","Abies religiosa","chamber","4","chambers","AE02_N04TAF","ambient_air_IE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AE05","P3","A9","AE05_N04TAF","Abies religiosa","chamber","4","chambers","AE05_N04TAF","ambient_air_IE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AE06","P3","C8","AE06_N04TAF","Abies religiosa","chamber","4","chambers","AE06_N04TAF","ambient_air_IE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AE08","P4","F3","AE08_N04TAF","Abies religiosa","chamber","4","chambers","AE08_N04TAF","ambient_air_IE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AE10","P4","C8","AE10_N04TAF","Abies religiosa","chamber","4","chambers","AE10_N04TAF","ambient_air_IE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AE12","P4","G4","AE12_N04TAF","Abies religiosa","chamber","4","chambers","AE12_N04TAF","ambient_air_IE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AE13","P3","E12","AE13_N04TAF","Abies religiosa","chamber","4","chambers","AE13_N04TAF","ambient_air_IE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AE14","P4","G5","AE14_N04TAF","Abies religiosa","chamber","4","chambers","AE14_N04TAF","ambient_air_IE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AE15","P3","A2","AE15_N04TAF","Abies religiosa","chamber","4","chambers","AE15_N04TAF","ambient_air_IE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
